Fauna/Flora,Grupo,Familia,Especie (Simplificado),Nome Comum,Categoria de Ameaca,Sigla Categoria de Ameaca,Bioma,Principais Ameacas,Presenca em areas Protegidas,Plano de Acao Nacional para Conservacao (PAN),Ordenamento Pesqueiro ,Nivel de Protecao na Estrategia Nacional,Especie exclusiva do Brasil,Estados de Ocorrencia,ano_lista
Flora,Angiospermas,Annonaceae,Trigynaea axilliflora,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Sim,Nao,3,Sim,RJ,2014
Flora,Angiospermas,Annonaceae,Trigynaea oblongifolia,-,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria,,,,,,,2014
Flora,Angiospermas,Cyperaceae,Trilepis tenuis,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Iridaceae,Trimezia exillima,-,Em Perigo (EN),EN,Cerrado,Agropecuaria,Sim,Sim,Nao,2,Sim,MG,2014
Flora,Angiospermas,Iridaceae,Trimezia fistulosa,-,Em Perigo (EN),EN,Cerrado,Extracao de Madeira,Sim,Sim,Nao,3,Sim,MG,2014
Flora,Angiospermas,Iridaceae,Trimezia fistulosa var. longifolia,-,Criticamente em Perigo (CR),CR,Cerrado,Extracao de Madeira,Sim,Sim,Nao,3,Sim,MG,2014
Flora,Angiospermas,Iridaceae,Trimezia plicatifolia,-,Em Perigo (EN),EN,Cerrado,Queimadas,Sim,Nao,Nao,2,Sim,GO; MG,2014
Fauna,Mamiferos,Echimyidae,Trinomys eliasi,Rato-do-espinho,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria; Assentamento Humano:cidades; Mineracao; Outras Atividades Economicas:Energia,Sim,Sim,Nao,2,Sim,RJ,2014
Fauna,Mamiferos,Echimyidae,Trinomys mirapitanga,Rato-do-espinho,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria,Sim,Nao,Nao,2,Sim,BA,2014
Fauna,Mamiferos,Echimyidae,Trinomys moojeni,Rato-do-espinho,Em Perigo (EN),EN,Cerrado; Mata Atlantica,Queimadas,Sim,Sim,Nao,2,Sim,MG,2014
Fauna,Mamiferos,Echimyidae,Trinomys yonenagae,Rato-do-espinho,Em Perigo (EN),EN,Caatinga; Cerrado,Extracao Florestal; Mineracao; Outras Atividades Economicas:Turismo,Sim,Nao,Nao,3,Sim,BA,2014
Flora,Angiospermas,Poaceae,Triraphis devia,-,Em Perigo (EN),EN,Cerrado,Agropecuaria,Sim,Sim,Nao,3,Sim,GO,2014
Flora,Angiospermas,Asteraceae,Trixis glaziovii,-,Vulneravel (VU),VU,Cerrado; Mata Atlantica,Queimadas,Sim,Nao,Nao,2,Sim,MG; PR; RJ; SP,2014
Flora,Angiospermas,Asteraceae,Trixis pallida,-,Criticamente em Perigo (CR),CR,Pampa,Agropecuaria,Sim,Sim,Nao,2,Nao,RS,2014
